i,Title,Author,Publisher,Subjects
8234,"Rosalie de Constant, sa famille et ses amis : 1758-1834 /","Achard, Lucie",Ch Eggimann,"Constant de Rebecque, Rosalie"
8242,Art & fear : observations on the perils (and rewards) of artmaking /,"Bayles, David Paul 1952-....",Souvenir Press,
8262,"Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia","Duns, Joannes Scotus",L Vivès,
8270,La mort : raconter la mort et le deuil aux enfants /,,AROLE Association romande de littérature pour l'enfance et la jeunesse; Institut suisse Jeunesse et médias ISJM,Mort--Dans la littérature pour la jeunesse; Bibliographie analytique
8290,Sur les pas des Huguenots et des Vaudois du Piémont en Pays de Vaud /,"Nora, Marie",CFPS Le Repuis; Association vaudoise des amis du Sentiers des Huguenots et des Vaudois du Piémont,Huguenots--Vaud (Suisse); Randonnées historiques--Vaud (Suisse)
8291,Les dignitaires de l'église Notre-Dame de Lausanne jusqu'en 1536 /,"Reymond, Maxime, 1872-1951",G Bridel,"Geschichte; Kirchengeschichte; Geistlicher; Genealogie; Lausanne (Suisse, diocèse, VD)--origines / 1536; Lausanne"
8355,The history of the Norman conquest of England : its causes and its results /,"Freeman, Edward Augustus",Clarendon Press,
8358,Catalogue des objets de tabletterie du Musée de la civilisation gallo-romaine de Lyon /,"Béal, Jean Claude",De Boccard; Univ Jean Moulin,objet en os romain antique--Musée gallo-romain de Fourvière (Lyon); tabletterie romaine antique--Musée gallo-romain de Fourvière (Lyon)
8375,L'oeuvre de Corot : catalogue raisonné et illustré /,"Robaut, Alfred",Quatre chemins-Editart; Arts et métiers graphiques; L Laget,"Corot, Camille--[catalogue raisonné]"
8406,Guide de la propriété par étages : [PPE] /,,Propriétaires services,Propriété immobilière; Copropriété; Propriété par étages; Suisse; [Guides pratiques et mémentos]; [Règlements]
8437,Politique de l'extase /,"Leary, Timothy",Fayard,psychédélisme--Etats-Unis--20e s. (2e moitié)
8510,Le Shintō : religion nationale du Japon /,"Katō, Genchi",P Geuthner,shintō
8511,Le Taoïsme et les religions chinoises /,"Maspero, Henri",Gallimard,religion chinoise; taoïsme
8519,Les contre-littératures /,"Mouralis, Bernard",Presses Universitaires de France,genre littéraire mineur; paralittérature
8650,Le fascisme italien à Lausanne : 1920-1943 /,"Cantini, Claude",Cedips,"fascisme--Lausanne (Suisse, VD)--1920 / 1943"
8679,Lateinische Grammatik /,"Leumann, Manu",CH Beck,grammaire--latin (langue)
8682,Taranto /,"Lippolis, Enzo",Istituto per la storia e l'archeologia della Magna Grecia,culte--religion grecque--Tarente (Italie); Tarente (Italie)--* archéologie
8684,Hesychii Alexandrini Lexicon /,"Hesychius, Alexandrinus",postea H Dufft; sumptibus F Maukii,
8685,Les images d'Aristophane : études de langue et de style /,"Taillardat, Jean",Les Belles Lettres,image--Aristophane
8707,Néo-fascisme et idéologie du désir : [les tartuffes de la révolution] /,"Clouscard, Michel",Denoël/Gonthier,"désir--idéologie--société (milieu humain); désir--Guattari, Félix. ""L'Anti-Oedipe""; désir--Deleuze, Gilles. ""L'Anti-Oedipe"""
8708,Polnoe sobranie sochineniĭ v tridt︠s︡ati tomakh : khudozhestvennye proizvedenii︠a︡ toma I-XVII : publit︠s︡istika i pisʹma toma XVIII-XXX /,"Dostoevskiĭ, Fedor Mikhaĭlovich",Izd Nauka,
8773,Studies in seventeenth-century imagery /,"Praz, Mario",Ed di storia e letteratura,livre d'emblèmes--16e s. / 19e s.--[bibliographie]; conceptisme--littérature européenne--15e s. / 17e s.--[études diverses]; épigramme--littérature européenne--livre d'emblèmes--16e s. / 17e s.
8788,Cartulaire du Chapitre de Notre-Dame de Lausanne /,,Payot,"cathédrale--chapitre cathédral--Lausanne (Suisse, VD) - Notre-Dame--963 / 1242--[cartulaire]"
8823,La symbolique des nombres dans la Chine traditionnelle  /,"Rochat de la Vallée, Elisabeth",Desclée de Brouwer,nombre--symbole--Chine; symbole--Chine; nombre--philosophie chinoise--symbole
8887,Félix Vallotton : documents pour une biographie et pour l'histoire d'une oeuvre /,,Bibliothèque des arts,"Vallotton, Félix--[correspondance]"
8908,Lausanne Saint-François 16 /,,Impr réunies; UBS Wealth Management,"banque (bâtiment)--Société de banque suisse--UBS (United Bank of Switzerland, Suisse)--Lausanne (Suisse, VD) - Saint-François"
8913,Louis Soutter /,"Soutter, Louis 1871-1942",A Kundig; Mermod,"Soutter, Louis"
8929,The Holocaust : selected documents /,,Garland,Juif--1933 / 1949--[document]
8965,Dictionnaire historique du parler neuchâtelois et suisse romand /,"Pierrehumbert, William",P Attinger; V Attinger,"dialecte--français (langue)--Suisse romande--[dictionnaire multilingue]; dialecte--français (langue)--Neuchâtel (Suisse, canton)--[dictionnaire multilingue]; français (langue)--régionalisme (linguistique)--Neuchâtel (Suisse, canton)--[dictionnaire]; Francoprovençal (langue); Neuchâtelois (dialecte); Français (langue); Mundart; Suisse romande; Neuchâtel (Suisse, canton); [Dictionnaires français]; [Dictionnaires francoprovençaux]; Wörterbuch"
8967,Cent cinquante ans d'histoire vaudoise : 1803-1953 /,,Payot,Vaud (Suisse)--1803 / 1953
8989,La conscience affective /,"Alquié, Ferdinand",J Vrin,affectivité--conscience
9006,Le petit livre rouge des écoliers et lycéens /,"Andersen, Bo Dan",CEDIPS,jeune--* psychologie; élève--enseignant--relations interpersonnelles--[guide]; jeune--[guide]
9079,Orthodingo CE1 : 3 règles amusantes et 200 mots pour maîtriser l'orthographe /,"Faye, Emilie, 1982-....",Aritma; Cocktail Games,Français (langue)--Orthographe; Jeux éducatifs
9086,Lou! /,"Neel, Julien",Glénat,Bandes dessinées
9129,Le bestiaire divin ou La symbolique des animaux /,"Duchaussoy, Jacques",Le courrier du livre,animal--symbole
9173,"La médiation en droit pénal suisse : étude de la législation suisse relative à la médiation pénale à la lumière des droits français, allemand et belge /","Perrier Depeursinge, Camille 1983-",Helbing Lichtenhahn,médiation--* droit pénal--Suisse; droit pénal--médiation--* droit comparé--Allemagne--Belgique--France--Suisse; Strafrecht; Mediation(Regelung eines Konflikts); Rechtsvergleichung; Frankreich; Deutschland; Belgien; Schweiz
9233,"""J'ay grand envie de veoir assaillir"" : guerre, guerriers et finances dans les Etats de Savoie à la fin du Moyen Age (XIVe-XVe s.) /","Biolzi, Roberto",éditeur non identifié,Savoie (duché).--Armée; 14e siècle-15e siècle; Guerres; Guerriers; Histoire médiévale; Moyen âge; Finances de guerre; Savoie (comté); [Thèses et écrits académiques]
9252,Le charme discret de l'intestin : tout sur un organe mal aimé /,"Enders, Giulia, 1990-",Actes Sud,Intestins; Gastroentérologie; Digestion; Intestines; Feeding Behavior; Gastroenterology
9257,"Débat sur le kantisme et la philosophie : Davos, mars 1929, et autres textes de 1929-1931 /","Cassirer, Ernst",Beauchesne,kantisme--[congrès]
9277,Oeuvres complètes /,"Colette, 1873-1954",Aux Ed du Club de l'honnête homme,
9304,Les Rougon-Macquart : histoire naturelle et sociale d'une famille sous le second empire /,"Zola, Emile",Gallimard,
9371,Collected short stories /,"Maugham, William Somerset",Heinemann; Pan Books,
9384,"Alexander von Tralles : Original-Text und Übersetzung nebst einer einleitenden Abhandlung, ein Beitrag zur Geschichte der Medicin /","Alexander, Trallianus",AM Hakkert,
9394,Le diable au sabbat : littérature démonologique et sorcellerie (1440-1460) /,"Ostorero, Martine",éditeur non identifié,démonologie--traité (ouvrage)--Europe--Moyen-Âge--1440 / 1460
9408,Techniques quantitatives de gestion : ... et maintenant avec des sites Internet /,"Schumacher, Jean-Jacques",Collection CCL,comptabilité de gestion--[manuel]
9416,Kung-Fu (wu-shu) : du débutant à l'expert /,"Habersetzer, Roland",Ed Amphora,kung-fu--[manuel]
9435,Opere /,"Carducci, Giosue",N Zanichelli,
9436,Morgante /,"Pulci, Luigi, 1432-1484",R Ricciardi,
9450,Die römischen Fingerringe der Rheinlande und der benachbarten Gebiete /,,G Reimer,anneau romain antique--Rhénanie (Allemagne); bague romaine antique--Rhénanie (Allemagne)
9452,Gemme del Museo nazionale di Aquileia /,"Sena Chiesa, Gemma",Associazione nazionale per Aquileia,gemme romaine antique--Museo Archeologico di Aquileia (Aquilée)--[catalogue d'exposition]
9460,"4bis-113: Périodique (prêt 28 jours), numéro non catalogué en détail dans VTLS : BCUD-Bâtiment central magasins : BDSE, magasins périodiques économie : BCUR, magasins et libre-accès documentation vaudoise",,,
9497,Le comte de Monte-Cristo /,"Dumas, Alexandre, 1802-1870",Calmann-Lévy,
9500,Renouer avec le vivant /,"Morizot, Baptiste, 1983-",Édition Socialter SAS,Biodiversité; Relations homme-animal; Écologie humaine; Vie (biologie); Environnement; Écologie
9512,Traité de la concurrence déloyale en matière industrielle et commerciale /,"Chenevard, Charles",Kündig,unlauterer Wettbewerb; Schweiz
9520,Mes 8 champignons comestibles préférés /,"Combes, Mathilde rédactrice en chef d'un magazine sur la nature",Total Santé,
9564,Les croisades vues par les Arabes /,"Maalouf, Amin",J-C Lattès,croisades
9621,"Roma Christiana : recherches sur l'Eglise de Rome, son organisation, sa politique, son idéologie de Miltiade à Sixte III (311-440) /","Pietri, Charles",Ecole française de Rome,"Eglise catholique romaine--311 / 440; christianisme--Rome (Italie, ville)--311 / 440"
9662,Les principes régissant l'exécution des peines privatives de liberté ( art. 74 et 75 al. 1 CP)  /,"Viredaz, Baptiste",Schulthess,exécution de la peine--prison--* droit pénal--Suisse; allgemeines Strafrecht; Straf- und Massnahmenvollzug; Freiheitsstrafe; Schweiz
9666,Code pénal suisse /,,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion
9695,La maison paysanne vaudoise /,"Biermann, Charles",F Rouge,maison rurale--Vaud (Suisse)
9714,"Société, patriotisme et éducation au XVIIIe siècle /",,Centre de documentation et de recherche Pestalozzi,éducation--société (milieu humain)--Suisse--18e s.
9742,"L'autre chant de la danse : ""Ce que la nuit me dit"" /","Béjart, Maurice",Flammarion,
9767,Analyse des données qualitatives /,"Miles, Matthew",De Boeck Université,analyse des données--données qualitatives--[études diverses]; analyse qualitative--recherche sociale--sciences de l'éducation--* méthodologie--[études diverses]; recherche qualitative--sciences sociales--* méthodologie--[études diverses]
9810,Schweiz-USA im kalten Krieg = Suisse-USA dans la guerre froide /,,Chronos,Guerre froide; Énergie nucléaire; guerre froide--relations internationales--Etats-Unis--Suisse--[études diverses]; Suisse; Etats-Unis
9832,Oeuvres complètes de Ernest Renan /,"Renan, Ernest",Calmann-Lévy,
9842,"La femme illustrée des années 20 : essai sur l'interprétation de l'image des femmes dans la presse illustrée, 1920-1930 /","Pavillon, Monique",Section d'histoire Université de Lausanne,femme - image--presse--Suisse--1920 / 1930
9855,"Costantino e i Costantinidi, l'innovazione costantiniana, le sue radici e i suoi sviluppi : acta XVI Congressus internationalis archaeologiae christianae (Romae 22-28.9.2013) /",,PIAC,Antiquités chrétiennes; Actes de congrès
9867,Proses éparses /,"Roud, Gustave, 1897-1976",Imprimerie des Arts et Métiers; Association des amis de Gustave Roud,
9870,Etude /,"Boissonnas, Edith, 1904-1989",Gallimard,
9871,L'embellie /,"Boissonnas, Edith, 1904-1989",Gallimard,
9872,Autobiographie /,"Powys, John Cowper",Gallimard,"Powys, John Cowper--[document]"
9944,Journal de bord : 1492-1493 /,"Colombo, Cristoforo",Impr Nationale,"Colomb, Christophe.--""Diario de a bordo""--1492 / 1493--[récit de voyage]; Amérique - découverte--1492 / 1493"
10027,Nos cousins d'Amérique /,"Carron, Alexandre",Ed Monographic,émigration suisse valaisanne--San José (Argentine)--19e s.; émigration suisse valaisanne--19e s.
10029,"Marguerite, sage-femme vaudoise ou la naissance autrefois /","Ferrari-Clément, Josiane, 1951-",Editions de l'Aire,sage-femme--Vaud (Suisse)--20e s. (1ère moitié); obstétrique--Vaud (Suisse)--20e s. (1ère moitié)
10073,Droit fiscal suisse : l'imposition du revenu et de la fortune /,"Rivier, Jean-Marc",Presses centrales; éditeur non identifié,impôt sur le revenu--Suisse--[manuel]; impôt sur la fortune--Suisse--[manuel]
10079,So mach ich's richtig = Je fais les choses dans les règles = Cosi faccio bene = Así lo hago correctamente = This is how to do it right = Zo doe ik et goed /,"Ries, Lena",Schubi Lernmedien,Langues--Étude et enseignement (primaire); Savoir-vivre; Banques d'images
10085,"Jeux de doigts, rondes et jeux dansés : maternelle /","Sanchis, Solange",Retz,
10089,Le titre préliminaire du Code civil /,"Deschenaux, Henri, 1907-2000",Ed universitaires,droit civil--principes généraux (droit)--Suisse--[manuel]; Zivilrecht; Einleitungstitel; Schweiz; Grundlagenwerk
10090,La forme authentique en droit fédéral et en droit cantonal comparé /,"Dépraz, Alex, Juge cantonal, 1973-",Bis et Ter,acte authentique--droit cantonal--droit fédéral--* droit comparé--Suisse; öffentliche Beurkundung; Rechtsvergleichung; Bundesrecht; kantonales Recht; Schweiz; Aargau; Appenzell Ausserrhoden; Appenzell Innerrhoden; Basel-Landschaft; Basel-Stadt(Kanton); Bern(Kanton); Freiburg(Kanton); Genf(Kanton); Glarus(Kanton); Graubünden; Jura; Luzern(Kanton); Neuenburg(Kanton); Nidwalden; Obwalden; Sankt Gallen(Kanton); Schaffhausen(Kanton); Schwyz(Kanton); Solothurn(Kanton); Tessin(Kanton); Thurgau; Uri; Waadt; Wallis; Zug(Kanton); Zürich(Kanton)
10110,La dialectique de la raison : fragments philosophiques /,"Horkheimer, Max",Gallimard,morale--rationalité--théorie critique; culture--rationalité--* philosophie; dialectique--raison--Lumières
10120,La Migros et la politique : l'Alliance des indépendants /,"Meynaud, Jean",M Meynaud,Alliance des Indépendants (Suisse)--Migros (Suisse)
10220,La géographie artistique /,"Gamboni, Dario 1954-....",Éditions Desertina,art suisse--* géographie artistique--origines / 20e s.; ART--HISTOIRE; SUISSE; 0000-1999
10253,Vies.,Plutarque 0046?-0120?,Les Belles Lettres,
10275,Le guide des balades à vélo : [les 60 plus beaux parcours de Suisse romande en famille],,GeneralMedia,Cyclotourisme; [Guides touristiques et de visite]
10319,Mélanges offerts à Rita Lejeune,,J Duculot,littérature française--Moyen-Âge--[études diverses]
10325,L'enfant déficient mental à la maison : manuel à l'usage des parents /,"Dittman, Laura L",Ligue internationale des Associations d'aide aux handicapés mentaux,éducation familiale--enfant handicapé mental--[manuel]
10345,Pensées /,"Aurelius Antoninus, Marcus",Les Belles Lettres,
10350,"Die Chefbeamten der schweizerischen Bundesverwaltung : soziologische Querschnitte in den Jahren 1938, 1955 und 1969 /","Klöti, Ulrich",Francke Verlag,administration publique--fonction publique--Suisse
10352,"Les hauts fonctionnaires de l'administration fédérale suisse : profils socio-politiques, positions et pouvoir des élites administratives de la Confédération helvétique en 1991 /","Roth, André-Noël",Univ de Genève/Département de science politique,administration fédérale--haut fonctionnaire--Suisse--20e s. (fin)
10354,Le droit d'asile face aux réformes : fondements et enjeux dans la pratique /,,Stämpfli,Droit d'asile; Révision constitutionnelle; Asylrecht; Asylverfahren; Suisse; Schweiz; [Études diverses]
10363,Histoire de la Fédération suisse des ouvriers sur bois et du bâtiment: 1873-1953 /,,FOBB,Syndicat industrie et bâtiment (Suisse)--1873 / 1953
10380,La horde du contrevent /,"Henninot, Eric",Delcourt,Bandes dessinées de science-fiction; Bandes dessinées
10408,"Le Refuge huguenot en Suisse = Die Hugenotten in der Schweiz : [exposition] : Musée historique de l'Ancien-Évêché, Lausanne, 1985",,Ed du Tricorne; Musée historique de l'Ancien-Évêché,Réfugiés religieux--Suisse--Histoire; Huguenots--Suisse--Histoire; protestant français--Suisse--16e s. / 18e s.; Eglise du refuge--Suisse--16e s. / 18e s.
10431,Analyse des données qualitatives /,"Miles, Matthew",De Boeck,
10444,Carmina Burana /,,C Winter,
10466,Leçons sur la philosophie de la religion /,"Hegel, Georg Wilhelm Friedrich, 1770-1831",J Vrin,
10488,Alexiade : règne de l'empereur Alexis I Comnène : 1081-1118 /,Anna Comnena,Les Belles Lettres,Alexis--(Comnène ;--Empereur byzantin ;--1)
10491,Théâtre /,"Williams, Tennessee",R Laffont,
10518,Le syndrome d'abandon /,"Guex, Germaine",Presses Universitaires de France,privation (psychologie)--relation parent-enfant; Privation (psychologie); Psychothérapie; Psychanalyse
10520,Psychanalyse infantile : symbolisme et valeur clinique des créations imaginatives chez l'enfant /,"Morgenstern, Sophie",Editions Denoël,Psychologie; Psychologie du dessin; enfant--imagination--psychanalyse--symbole
10521,Dessin et structure mentale : contribution à l'étude psycho-sociale des milieux nord-africain /,"Rioux, Georges",Attali,dessin--test psychologique--Maghreb
10534,Josef Viktor Widmann : ein Lebensbild /,"Widmann, Elisabeth",Huber,"Widmann, Josef Viktor"
10543,L'effet suspensif en procédure administrative /,"Bouchat, Cléa",Helbing Lichtenhahn,Procédure administrative; Actes administratifs; Verwaltungs- und Verwaltungsgerichtsverfahren; aufschiebende Wirkung; Bundesrecht; kantonales Recht; Raumplanung und öffentliches Baurecht; öffentliches Beschaffungswesen; Ausländerrecht; Asylrecht; öffentliches Personalrecht; Strassenverkehrswesen; Sozialversicherung; Staatshaftung; Référé-suspension; Suisse; Schweiz; Freiburg(Kanton); Genf(Kanton); Jura; Neuenburg(Kanton); Wallis; Waadt; [Thèses et écrits académiques]
10583,Oeuvres romanesques /,"Sartre, Jean-Paul",Gallimard,
10604,"Mathématiques, cinquième année /","Chastellain, Michel",COROME; Office romand des éditions et du matériel scolaire,
10606,"Les enfants agités, anxieux, tristes : fondements d'une pratique spirituelle de l'éducation /","Köhler, Henning",Ed Novalis,enfant difficile--spiritualité--* pédagogie curative
10610,La réforme scolaire vaudoise : genèse de la loi scolaire du 12 juin 1984 /,"Bober, Gérard",Loisirs et pédagogie; Bibliothèque historique vaudoise,réforme de l'enseignement--Vaud (Suisse)--1953 / 1984; loi--réforme de l'enseignement--Vaud (Suisse)--1984
10643,Mon Paris et ses parisiens /,"Fouquières, André de",P Horay,
10644,Histoire générale de la presse française /,,Presses univ de France,presse--France--origines / 1975
10692,L'orateur / trad. nouvelle par Alphonse Agnant. Les topiques / trad. nouvelle par M. Delcasso. [Dialogue sur les] partitions oratoires / trad. nouvelle par M. Bompart. [Des] orateurs parfaits / trad. nouvelle par E. Greslou,"Cicero, Marcus Tullius",CLF Panckoucke,
10693,Notice sur Cicéron /,"Cicero, Marcus Tullius",CLF Panckoucke,
10697,Vint : le roman noir des drogues en Ukraine /,"Marignac, Thierry",Payot,consommation--drogue--Ukraine--21e s. (début)
10698,"Droit fédéral et vaudois de la construction : textes annotés de la loi fédérale sur l'aménagement du territoire et de son ordonnance d'exécution, de la loi vaudoise sur l'aménagement du territoire et les constructions et de son règlement d'exécution extraits de la loi vaudoise sur la jurisdiction et la procédure administratives et du code rural et foncier /",,Ed Payot,droit de la construction--Vaud (Suisse)--[texte législatif]; aménagement du territoire--droit de la construction--Suisse--[texte législatif]; aménagement du territoire--droit de la construction--Vaud (Suisse)--[texte législatif]; droit de la construction--Suisse--[texte législatif]; Raumplanung und öffentliches Baurecht; Bundesrecht; kantonales Recht; Bundesgesetz über die Raumplanung; kantonales Raumplanungsgesetz; Schweiz; Waadt; Textreproduktion; Kommentar(Werk)
10755,Studies in literature /,"Quiller-Couch, Arthur Thomas",The University Press,
10757,Histoire des sociétés d'étudiants à Lausanne /,"Meuwly, Olivier, 1963-",Université de Lausanne,"société d'étudiants--Lausanne (Suisse, VD)--19e s."
10760,Ma cuisine Ayurveda : recettes pour un esprit et un corps sains /,"Fabrie, Biance",First,Ayurveda; Cuisine végétarienne
10769,Le rire et le sourire dans le roman courtois en France au Moyen Age : 1150-1250 /,"Ménard, Philippe",Droz,rire--roman courtois français--12e s. (2e moitié) / 13e s. (1ère moitié)
10770,"The continuations of the Old French ""Perceval"" of Chretien de Troyes / redaction of Mss E M Q U",,The American philosophical Society; Univ of Pennsylvania Press,
10778,An Anglo-Norman rhymed Apocalypse with commentary /,,B Blackwell,
10781,Gustave Roud : point de vue sur un homme discret /,"Vincent, Gilbert, 1933-",L'Age d'homme,"mystique--Roud, Gustave"
10791,Programmation en assembleur 68000 /,"Léon, Louis",Eyrolles,assembleur (langage de programmation)--Motorola M68000 (microprocesseur)--programmation
10792,Circuits périphériques de la famille 68000 /,"Jaulent, Patrick",Eyrolles,Motorola M68000 (microprocesseur)--périphérique (informatique)--signal électrique - transmission
10793,"Le microprocesseur 68000 et sa programmation : ""MC 68000 et MC 68010"" /","Jaulent, Patrick",Eyrolles,Motorola M68000 (microprocesseur)--[manuel]
10794,Mise en oeuvre du 68000 /,"Vieillefond, Catherine",Sybex,
10795,Traité du jeu de Go,"Girault, Roger J",Librairie L'Impensé Radical,jeu de go
10799,Bannières et peintures de Touen-Houang : conservées au musée Guimet /,"Vandier-Nicolas, Nicole",A Maisonneuve,"peinture chinoise--Musée Guimet (Paris)--Dunhuang (Chine, république populaire)"
10802,Inigo Jones : the theatre of the Stuart court : including the complete designs for productions at court for the most part in the collection of the Duke of Devonshire together with their texts and historical documentation /,"Orgel, Stephen",Univ of California press; Sotheby-Parke-Bernet,"scénographie--Jones, Inigo - dessin; costume--théâtre anglais--17e s.; masque--théâtre anglais--17e s."
10804,Disguise and role-playing in Ben Jonson's drama /,"Hyland, Peter",Institut fuer englische Sprache und Literatur Univ Salzburg,"déguisement--Jonson, Ben"
10807,La protection des biotopes en droit suisse : étude de droit matériel /,"Sidi-Ali, Karin",Schulthess,biotope - protection--environnement - protection--* droit--Suisse; Biotop; Natur- und Heimatschutz; Umweltschutz; Schweiz
10842,Le bergsonisme /,"Thibaudet, Albert",Gallimard,"Bergson, Henri--* philosophie"
10849,Logique et existence : essai sur la logique de Hegel /,"Hyppolite, Jean",Presses univ de France,
10851,Logique de la philosophie /,"Weil, Eric",J Vrin,
10868,La Cathédrale de Lausanne /,,Société d'histoire de l'art en Suisse,"cathédrale--Lausanne (Suisse, VD) - Notre-Dame; Geschichte; Schweizergeschichte; Burg; Kloster(Baute); religiöses Gebäude; Kunst und Kultur; Architektur"
10869,"Viollet-Le-Duc : centenaire de la mort à Lausanne : exposition au Musée historique de l'Ancien-Evêché, Lausanne, 22 juin-30 septembre 1979 /",,Musée historique de l'Ancien-Evêché,"Viollet-le-Duc, Eugène Emmanuel--[catalogue d'exposition]"
10925,Hommage à Monsieur Rodolphe Stadler à l'occasion du cinquantième anniversaire de la S.A. des Câbleries et tréfileries de Cossonay : 1923-1973 /,"Rieben, Henri",Impr Réunies; éditeur non identifié,"Stadler, Rodolphe"
10926,"L'ouvrier au village : intégration ouvrière et changements structuraux à Penthalaz, 1898-1930 /","Francillon, Denise",Section d'histoire Université de Lausanne,"intégration sociale--travailleur--Penthalaz (Suisse, VD)--1898 / 1930; Penthalaz (Suisse, VD)--1898 / 1930"
10927,A table chez les Vaudois : carnet du beau-boire et des recettes vigneronnes /,,Roth et Sauter; éditeur non identifié,cuisine (gastronomie)--Vaud (Suisse)
10934,Apprendre à argumenter : 5e secondaire /,,ERPI,
10969,"Le mausolée nouveau est arrivé : les monuments funéraires d'Avenches-en Chaplix (Canton de Vaud, Suisse) /","Flutsch, Laurent",Cahiers d'archéologie romande,"Mausolées; Epoque impériale romaine (Rome ; 30 av. J.-C.-476); Fouilles archéologiques; Remontage (archéologie); Avenches (Suisse, VD) - En Chaplix"
10971,Die Roemischen Mosaiken in Deutschland /,"Parlasca, Klaus",W de Gruyter und Co,mosaïque romaine antique--Allemagne; mosaïque romaine antique--Germanie
11023,Le temps des prisons : essai sur l'histoire de la délinquance et les origines du système pénitentiaire /,"Deyon, Pierre",Ed Universitaires; Université de Lille III,criminalité--système pénitentiaire--France--1670 / 1870; droit pénal--France--1670 / 1870
11075,Cette école d'art : de l'Ecole cantonale de dessin à l'Ecole cantonale des beaux-arts et d'art appliqué de Lausanne,,Imprimerie Roth et Sauter; Institut d'étude et de recherche en information visuelle,ECOLE CANTONALE D'ART DE LAUSANNE: ECAL (VD. LAUSANNE); ENSEIGNEMENT DU CINEMA; LAUSANNE
11076,L'Hôpital de Cery : 1873-1973 /,"Secrétan, Claude",Payot,"Hôpital de Cery (Prilly)--1873 / 1973; Hospitals, Psychiatric--history; Switzerland"
11079,Louis Rivier et les peintures décoratives de l'aula du Palais de Rumine à Lausanne /,"Rivier, Louis 1885-1963",Librairie centrale et universitaire F Haeschel-Dufey,"Rivier, Louis - peinture murale--Lausanne (Suisse, VD) - Palais de Rumine - Aula--1915 / 1923"
11120,Code des obligations : [du 30 mars 1911 (état le 1er janvier 2023)] /,,Diffusion OFCL; Chancellerie fédérale,Obligationenrecht; Obligationenrecht(Bundesgesetz); Schweiz; Textreproduktion
11171,"Conjudingo CE1 : 3 jeux de conjugaison : bataille, mistigri, rami /","Lagoda Patingre, Claire",Aritma; Cocktail Games,Français (langue)--Conjugaison; Jeux éducatifs
11178,Mémoires de ma vie /,"Rémusat, Charles de",Plon,"Constant de Rebecque, Benjamin--[document]"
11179,Correspondance de M. de Rémusat pendant les premières années de la Restauration /,"Rémusat, Charles de",Calmann Lévy,
11180,"Le comte Molé : 1781-1855 : sa vie, ses mémoires /","Noailles, Hélie Guillaume Hubert de",Champion,"Molé, Louis-Mathieu--[biographie]"
11201,Le ballon de Manon et la corde à sauter de Noé : guide pour prévenir les discriminations et les violences de genre destiné au corps enseignant du primaire et aux professionnel-le-s de l'enfance /,"Nanjoud, Bulle",le Deuxième Observatoire,Lutte contre le racisme; Racisme en éducation; Enseignement primaire; Égalité des sexes; Discrimination en éducation--Lutte contre; Violence en milieu scolaire--Lutte contre
11244,Lausanne 1860-1910 : vie quotidienne /,"Polla, Louis",Payot,"vie quotidienne--Lausanne (Suisse, VD)--1860 / 1910--[photographies]; Lausanne (Suisse, VD)--19e siècle"
11279,Jeux vocaux et chant choral : guide pédagogique /,"Bourdot, Marie-Françoise",Nathan,Jeux musicaux; Chant; Étude et enseignement; [Partitions]
11280,Jeux vocaux et chant choral en 20 séances /,"Bourdot, Marie-Françoise",Nathan; Paris,Musique--Étude et enseignement; Chant choral; Jeux musicaux
11305,"Ville et seigneurie : les chartes de franchise des comtes de Savoie, fin XIIe siècle - 1343 /","Mariotte-Löber, Ruth",Académie Florimontane,autonomie politique--charte de franchises--ville--Savoie (comté)--12e s. (fin) / 1343
11331,Tsahal : les légions d'Israël : des milices paysannes à la puissance nucléaire /,"Benaudis, Jacques",Ed Ramsay,Israël.--Armée--1882 / 1984
11359,"La sorcellerie comme exutoire : tensions et conflits locaux: Dommartin, 1524-1528 /","Choffat, Pierre-Han",Section d'histoire Faculté des Lettres Université de Lausanne,"Sorcellerie--Dommartin (Suisse, VD)--16e siècle; Conflits d'intérêts--Dommartin (Suisse, VD)--16e siècle; conflit d'intérêts--procès--sorcellerie--Dommartin (Suisse, VD)--1524 / 1528; Sorcellerie--Procès--Suisse--Dommartin (Suisse, VD)--16e siècle"
11380,"J'explore ma ville ! : guide illustré de promenades lausannoises à suivre à l'école ou en famille, dès 7 ans /","Nikles, Floriane",F Nikles,"Randonnée pédestre--Lausanne (Suisse, VD)"
11395,Jean-Pierre de Crousaz et le conflit des idées au siècle des Lumières /,"La Harpe, Jacqueline de",Giard; Droz,"Crousaz, Jean-Pierre de"
11396,"Deux héroïnes de la foi : Blanche Gamond, Jeanne Terrasson : récits du XVIIe siècle /",,Librairie Desrogis; J Sandoz; Sandoz et Fischbacher,persécution--protestantisme--France--17e s.--[document]
11408,"Construire une exposition / Eine Ausstellung bauen / hrsg. unter Mitw. der Landesausstellung, Leitung Alberto Camenzind = Building an exhibition : Lausanne 1964 / publ. in collaboration with the National Exhibition, under the direction of Alberto Camenzind",,Libr Marguerat,
11412,Les confessions de saint Augustin dans la tradition littéraire : antécédents et postérité /,"Courcelle, Pierre",Etudes augustiniennes,"Augustin--(saint).--""Confessions"" - influence exercée"
11413,Geschichte der Autobiographie /,"Misch, Georg",G Schulte-Bulmke,
