i,Title,Author,Publisher,Subjects,found_isbn,source
7980,"Lieux de femmes dans l'espace public : 1800-1930 : actes du colloque à l'Université de Lausanne, 11-12 nov. 1991 /",nan,Université de Lausanne Faculté des lettres Section d'histoire,espace public--femme--Europe--1800 / 1930--[congrès],,None
8001,Situations /,"Sartre, Jean-Paul",Gallimard,,9780394485195,OpenLibrary
8008,Traité de criminalistique /,"Locard, Edmond",J Desvigne,,,None
8010,Psychanalyse du crime : six enquêtes criminelles du Docteur Brussels /,"Brussel, James Arnold",Tchou,crime--* psychanalyse,,None
8021,Démonolâtrie et sorcellerie au Moyen Âge : fantasmes et réalités /,"Cohn, Norman, 1915-2007",Payot,Sorcellerie--Moyen âge; Démonologie--Moyen âge; sorcellerie--Moyen-Âge; démon--Moyen-Âge,,None
8026,Les procès d'animaux du Moyen Age à nos jours /,"Vartier, Jean",Hachette,Procès d'animaux; Moyen âge,,None
8112,Histoire de la neutralité suisse : trois siècles de politique extérieure fédérale /,"Bonjour, Edgar",P Attinger; La Baconnière,neutralité--politique étrangère--Suisse--17e s. (fin) / 1945,,None
8136,"La Constitution fédérale de la Suisse : 1848-1948 : ses origines, son élaboration, son évolution /","Rappard, William Emmanuel 1883-1958",Impr Réunies; La Baconnière,"Suisse.--""Constitution de 1848"" - commémoration; Etat fédéral - formation - commémoration--Suisse--1848 / 1948",,None
8145,Le nazisme : une idéologie en actes /,"Chapoutot, Johann, 1978-",La Documentation photographique,Nationalsozialistische deutsche Arbeiterpartei (Allemagne).--Hitlerjugend; National-socialisme et femmes; National-socialisme; Guerre mondiale (1939-1945); Éducation à l'image,,None
8163,"L'homicide intentionnel : (étude des art. 111, 112, 113, 114 et 116 du Code pénal suisse) /","Disch, Stefan",Imprivite; Université de Lausanne - Faculté de droit,culpabilité (droit)--homicide--Suisse; vorsätzliche Tötung; Mord; Totschlag; Tötung auf Verlangen; Kindestötung; Konkurrenz von Straftaten; Rechtsgeschichte; Rechtsvergleichung; Schweiz; Deutschland; Österreich; Frankreich,,None
8191,Le droit du bail en 400 questions /,"Ansermet, Jacques juriste 19..-....",Propriétaires Services SA une entité de la Chambre vaudoise immobilière,Baux--Droit; Miete; Schweiz,,None
8207,Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre /,"Valous, Guy de",A et J Picard,Ordre de Cluny--origines / 15e s.; abbaye--Bénédictins--Cluny (France)--origines / 15e s.,,None
8208,Rougemont : 9e centenaire : 1080-1980 : choix de textes,nan,Bibliothèque historique vaudoise,"Rougemont (Suisse, VD)--1080 / 1980--[études diverses]",,None
8229,Histoire du cinéma suisse d'animation /,"Edera, Bruno",Travelling,cinéma d'animation suisse; ANIMATION: HISTOIRE; SUISSE,,None
8230,Le journal intime /,"Didier, Béatrice",Presses universitaires de France,journal intime,,None
8232,"Malades incurables, vieillards infirmes et enfants difformes : histoire sociale et médicale du corps handicapé en Suisse romande (XIXe-début Xxe siècle) /","Kaba, Mariama",éditeur non identifié,handicapé--* médecine--Suisse romande--19e s. (début) / 20e s.; handicapé--* sociologie--Suisse romande--19e s. (début) / 20e s.,,None
8234,"Rosalie de Constant, sa famille et ses amis : 1758-1834 /","Achard, Lucie",Ch Eggimann,"Constant de Rebecque, Rosalie",9791041918348,Google
8242,Art & fear : observations on the perils (and rewards) of artmaking /,"Bayles, David Paul 1952-....",Souvenir Press,,,None
8262,"Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia","Duns, Joannes Scotus",L Vivès,,9780576991278,OpenLibrary
8270,La mort : raconter la mort et le deuil aux enfants /,nan,AROLE Association romande de littérature pour l'enfance et la jeunesse; Institut suisse Jeunesse et médias ISJM,Mort--Dans la littérature pour la jeunesse; Bibliographie analytique,,None
8290,Sur les pas des Huguenots et des Vaudois du Piémont en Pays de Vaud /,"Nora, Marie",CFPS Le Repuis; Association vaudoise des amis du Sentiers des Huguenots et des Vaudois du Piémont,Huguenots--Vaud (Suisse); Randonnées historiques--Vaud (Suisse),,None
8291,Les dignitaires de l'église Notre-Dame de Lausanne jusqu'en 1536 /,"Reymond, Maxime, 1872-1951",G Bridel,"Geschichte; Kirchengeschichte; Geistlicher; Genealogie; Lausanne (Suisse, diocèse, VD)--origines / 1536; Lausanne",,None
8355,The history of the Norman conquest of England : its causes and its results /,"Freeman, Edward Augustus",Clarendon Press,,9781446043349,OpenLibrary
8358,Catalogue des objets de tabletterie du Musée de la civilisation gallo-romaine de Lyon /,"Béal, Jean Claude",De Boccard; Univ Jean Moulin,objet en os romain antique--Musée gallo-romain de Fourvière (Lyon); tabletterie romaine antique--Musée gallo-romain de Fourvière (Lyon),,None
8375,L'oeuvre de Corot : catalogue raisonné et illustré /,"Robaut, Alfred",Quatre chemins-Editart; Arts et métiers graphiques; L Laget,"Corot, Camille--[catalogue raisonné]",,None
8406,Guide de la propriété par étages : [PPE] /,nan,Propriétaires services,Propriété immobilière; Copropriété; Propriété par étages; Suisse; [Guides pratiques et mémentos]; [Règlements],,None
8437,Politique de l'extase /,"Leary, Timothy",Fayard,psychédélisme--Etats-Unis--20e s. (2e moitié),,None
8510,Le Shintō : religion nationale du Japon /,"Katō, Genchi",P Geuthner,shintō,,None
8511,Le Taoïsme et les religions chinoises /,"Maspero, Henri",Gallimard,religion chinoise; taoïsme,,None
8519,Les contre-littératures /,"Mouralis, Bernard",Presses Universitaires de France,genre littéraire mineur; paralittérature,,None
8650,Le fascisme italien à Lausanne : 1920-1943 /,"Cantini, Claude",Cedips,"fascisme--Lausanne (Suisse, VD)--1920 / 1943",,None
8679,Lateinische Grammatik /,"Leumann, Manu",CH Beck,grammaire--latin (langue),9783406014260,OpenLibrary
8682,Taranto /,"Lippolis, Enzo",Istituto per la storia e l'archeologia della Magna Grecia,culte--religion grecque--Tarente (Italie); Tarente (Italie)--* archéologie,,None
8684,Hesychii Alexandrini Lexicon /,"Hesychius, Alexandrinus",postea H Dufft; sumptibus F Maukii,,9783110542813,OpenLibrary
8685,Les images d'Aristophane : études de langue et de style /,"Taillardat, Jean",Les Belles Lettres,image--Aristophane,,None
8707,Néo-fascisme et idéologie du désir : [les tartuffes de la révolution] /,"Clouscard, Michel",Denoël/Gonthier,"désir--idéologie--société (milieu humain); désir--Guattari, Félix. ""L'Anti-Oedipe""; désir--Deleuze, Gilles. ""L'Anti-Oedipe""",,None
8708,Polnoe sobranie sochineniĭ v tridt︠s︡ati tomakh : khudozhestvennye proizvedenii︠a︡ toma I-XVII : publit︠s︡istika i pisʹma toma XVIII-XXX /,"Dostoevskiĭ, Fedor Mikhaĭlovich",Izd Nauka,,,None
8773,Studies in seventeenth-century imagery /,"Praz, Mario",Ed di storia e letteratura,livre d'emblèmes--16e s. / 19e s.--[bibliographie]; conceptisme--littérature européenne--15e s. / 17e s.--[études diverses]; épigramme--littérature européenne--livre d'emblèmes--16e s. / 17e s.,,None
8788,Cartulaire du Chapitre de Notre-Dame de Lausanne /,nan,Payot,"cathédrale--chapitre cathédral--Lausanne (Suisse, VD) - Notre-Dame--963 / 1242--[cartulaire]",,None
8823,La symbolique des nombres dans la Chine traditionnelle  /,"Rochat de la Vallée, Elisabeth",Desclée de Brouwer,nombre--symbole--Chine; symbole--Chine; nombre--philosophie chinoise--symbole,9782220094793,Google
8887,Félix Vallotton : documents pour une biographie et pour l'histoire d'une oeuvre /,nan,Bibliothèque des arts,"Vallotton, Félix--[correspondance]",,None
8908,Lausanne Saint-François 16 /,nan,Impr réunies; UBS Wealth Management,"banque (bâtiment)--Société de banque suisse--UBS (United Bank of Switzerland, Suisse)--Lausanne (Suisse, VD) - Saint-François",,None
8913,Louis Soutter /,"Soutter, Louis 1871-1942",A Kundig; Mermod,"Soutter, Louis",9783888290855,OpenLibrary
8929,The Holocaust : selected documents /,nan,Garland,Juif--1933 / 1949--[document],,None
8965,Dictionnaire historique du parler neuchâtelois et suisse romand /,"Pierrehumbert, William",P Attinger; V Attinger,"dialecte--français (langue)--Suisse romande--[dictionnaire multilingue]; dialecte--français (langue)--Neuchâtel (Suisse, canton)--[dictionnaire multilingue]; français (langue)--régionalisme (linguistique)--Neuchâtel (Suisse, canton)--[dictionnaire]; Francoprovençal (langue); Neuchâtelois (dialecte); Français (langue); Mundart; Suisse romande; Neuchâtel (Suisse, canton); [Dictionnaires français]; [Dictionnaires francoprovençaux]; Wörterbuch",,None
8967,Cent cinquante ans d'histoire vaudoise : 1803-1953 /,nan,Payot,Vaud (Suisse)--1803 / 1953,,None
8989,La conscience affective /,"Alquié, Ferdinand",J Vrin,affectivité--conscience,,None
9006,Le petit livre rouge des écoliers et lycéens /,"Andersen, Bo Dan",CEDIPS,jeune--* psychologie; élève--enseignant--relations interpersonnelles--[guide]; jeune--[guide],,None
9079,Orthodingo CE1 : 3 règles amusantes et 200 mots pour maîtriser l'orthographe /,"Faye, Emilie, 1982-....",Aritma; Cocktail Games,Français (langue)--Orthographe; Jeux éducatifs,,None
9086,Lou! /,"Neel, Julien",Glénat,Bandes dessinées,9780822591696,OpenLibrary
9129,Le bestiaire divin ou La symbolique des animaux /,"Duchaussoy, Jacques",Le courrier du livre,animal--symbole,9782702902820,OpenLibrary
9173,"La médiation en droit pénal suisse : étude de la législation suisse relative à la médiation pénale à la lumière des droits français, allemand et belge /","Perrier Depeursinge, Camille 1983-",Helbing Lichtenhahn,médiation--* droit pénal--Suisse; droit pénal--médiation--* droit comparé--Allemagne--Belgique--France--Suisse; Strafrecht; Mediation(Regelung eines Konflikts); Rechtsvergleichung; Frankreich; Deutschland; Belgien; Schweiz,,None
9233,"""J'ay grand envie de veoir assaillir"" : guerre, guerriers et finances dans les Etats de Savoie à la fin du Moyen Age (XIVe-XVe s.) /","Biolzi, Roberto",éditeur non identifié,Savoie (duché).--Armée; 14e siècle-15e siècle; Guerres; Guerriers; Histoire médiévale; Moyen âge; Finances de guerre; Savoie (comté); [Thèses et écrits académiques],9782753593602,Google
9252,Le charme discret de l'intestin : tout sur un organe mal aimé /,"Enders, Giulia, 1990-",Actes Sud,Intestins; Gastroentérologie; Digestion; Intestines; Feeding Behavior; Gastroenterology,9782330188481,Google
9257,"Débat sur le kantisme et la philosophie : Davos, mars 1929, et autres textes de 1929-1931 /","Cassirer, Ernst",Beauchesne,kantisme--[congrès],,None
9277,Oeuvres complètes /,"Colette, 1873-1954",Aux Ed du Club de l'honnête homme,,,None
9304,Les Rougon-Macquart : histoire naturelle et sociale d'une famille sous le second empire /,"Zola, Emile",Gallimard,,,None
9371,Collected short stories /,"Maugham, William Somerset",Heinemann; Pan Books,,9781427080943,Google
9384,"Alexander von Tralles : Original-Text und Übersetzung nebst einer einleitenden Abhandlung, ein Beitrag zur Geschichte der Medicin /","Alexander, Trallianus",AM Hakkert,,,None
9394,Le diable au sabbat : littérature démonologique et sorcellerie (1440-1460) /,"Ostorero, Martine",éditeur non identifié,démonologie--traité (ouvrage)--Europe--Moyen-Âge--1440 / 1460,9788884504029,Google
9408,Techniques quantitatives de gestion : ... et maintenant avec des sites Internet /,"Schumacher, Jean-Jacques",Collection CCL,comptabilité de gestion--[manuel],,None
9416,Kung-Fu (wu-shu) : du débutant à l'expert /,"Habersetzer, Roland",Ed Amphora,kung-fu--[manuel],,None
9435,Opere /,"Carducci, Giosue",N Zanichelli,,9788812000760,OpenLibrary
9436,Morgante /,"Pulci, Luigi, 1432-1484",R Ricciardi,,9780253214072,Google
9450,Die römischen Fingerringe der Rheinlande und der benachbarten Gebiete /,nan,G Reimer,anneau romain antique--Rhénanie (Allemagne); bague romaine antique--Rhénanie (Allemagne),,None
9452,Gemme del Museo nazionale di Aquileia /,"Sena Chiesa, Gemma",Associazione nazionale per Aquileia,gemme romaine antique--Museo Archeologico di Aquileia (Aquilée)--[catalogue d'exposition],,None
9460,"4bis-113: Périodique (prêt 28 jours), numéro non catalogué en détail dans VTLS : BCUD-Bâtiment central magasins : BDSE, magasins périodiques économie : BCUR, magasins et libre-accès documentation vaudoise",nan,,,,None
9497,Le comte de Monte-Cristo /,"Dumas, Alexandre, 1802-1870",Calmann-Lévy,,9783989951013,Google
9500,Renouer avec le vivant /,"Morizot, Baptiste, 1983-",Édition Socialter SAS,Biodiversité; Relations homme-animal; Écologie humaine; Vie (biologie); Environnement; Écologie,,None
9512,Traité de la concurrence déloyale en matière industrielle et commerciale /,"Chenevard, Charles",Kündig,unlauterer Wettbewerb; Schweiz,,None
9520,Mes 8 champignons comestibles préférés /,"Combes, Mathilde rédactrice en chef d'un magazine sur la nature",Total Santé,,,None
9564,Les croisades vues par les Arabes /,"Maalouf, Amin",J-C Lattès,croisades,9782709634656,Google
9621,"Roma Christiana : recherches sur l'Eglise de Rome, son organisation, sa politique, son idéologie de Miltiade à Sixte III (311-440) /","Pietri, Charles",Ecole française de Rome,"Eglise catholique romaine--311 / 440; christianisme--Rome (Italie, ville)--311 / 440",,None
9662,Les principes régissant l'exécution des peines privatives de liberté ( art. 74 et 75 al. 1 CP)  /,"Viredaz, Baptiste",Schulthess,exécution de la peine--prison--* droit pénal--Suisse; allgemeines Strafrecht; Straf- und Massnahmenvollzug; Freiheitsstrafe; Schweiz,,None
9666,Code pénal suisse /,nan,Diffusion OFCL; Chancellerie fédérale,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion,,None
9695,La maison paysanne vaudoise /,"Biermann, Charles",F Rouge,maison rurale--Vaud (Suisse),,None
9714,"Société, patriotisme et éducation au XVIIIe siècle /",nan,Centre de documentation et de recherche Pestalozzi,éducation--société (milieu humain)--Suisse--18e s.,,None
9742,"L'autre chant de la danse : ""Ce que la nuit me dit"" /","Béjart, Maurice",Flammarion,,,None
9767,Analyse des données qualitatives /,"Miles, Matthew",De Boeck Université,analyse des données--données qualitatives--[études diverses]; analyse qualitative--recherche sociale--sciences de l'éducation--* méthodologie--[études diverses]; recherche qualitative--sciences sociales--* méthodologie--[études diverses],9782744500909,OpenLibrary
9810,Schweiz-USA im kalten Krieg = Suisse-USA dans la guerre froide /,nan,Chronos,Guerre froide; Énergie nucléaire; guerre froide--relations internationales--Etats-Unis--Suisse--[études diverses]; Suisse; Etats-Unis,,None
9832,Oeuvres complètes de Ernest Renan /,"Renan, Ernest",Calmann-Lévy,,,None
9842,"La femme illustrée des années 20 : essai sur l'interprétation de l'image des femmes dans la presse illustrée, 1920-1930 /","Pavillon, Monique",Section d'histoire Université de Lausanne,femme - image--presse--Suisse--1920 / 1930,,None
9855,"Costantino e i Costantinidi, l'innovazione costantiniana, le sue radici e i suoi sviluppi : acta XVI Congressus internationalis archaeologiae christianae (Romae 22-28.9.2013) /",nan,PIAC,Antiquités chrétiennes; Actes de congrès,,None
9867,Proses éparses /,"Roud, Gustave, 1897-1976",Imprimerie des Arts et Métiers; Association des amis de Gustave Roud,,9782020100311,OpenLibrary
9870,Etude /,"Boissonnas, Edith, 1904-1989",Gallimard,,,None
9871,L'embellie /,"Boissonnas, Edith, 1904-1989",Gallimard,,,None
9872,Autobiographie /,"Powys, John Cowper",Gallimard,"Powys, John Cowper--[document]",9780571271375,OpenLibrary
9944,Journal de bord : 1492-1493 /,"Colombo, Cristoforo",Impr Nationale,"Colomb, Christophe.--""Diario de a bordo""--1492 / 1493--[récit de voyage]; Amérique - découverte--1492 / 1493",9782707110879,Google
10027,Nos cousins d'Amérique /,"Carron, Alexandre",Ed Monographic,émigration suisse valaisanne--San José (Argentine)--19e s.; émigration suisse valaisanne--19e s.,9782883410039,OpenLibrary
10029,"Marguerite, sage-femme vaudoise ou la naissance autrefois /","Ferrari-Clément, Josiane, 1951-",Editions de l'Aire,sage-femme--Vaud (Suisse)--20e s. (1ère moitié); obstétrique--Vaud (Suisse)--20e s. (1ère moitié),,None
10073,Droit fiscal suisse : l'imposition du revenu et de la fortune /,"Rivier, Jean-Marc",Presses centrales; éditeur non identifié,impôt sur le revenu--Suisse--[manuel]; impôt sur la fortune--Suisse--[manuel],,None
10079,So mach ich's richtig = Je fais les choses dans les règles = Cosi faccio bene = Así lo hago correctamente = This is how to do it right = Zo doe ik et goed /,"Ries, Lena",Schubi Lernmedien,Langues--Étude et enseignement (primaire); Savoir-vivre; Banques d'images,,None
10085,"Jeux de doigts, rondes et jeux dansés : maternelle /","Sanchis, Solange",Retz,,,None
10089,Le titre préliminaire du Code civil /,"Deschenaux, Henri, 1907-2000",Ed universitaires,droit civil--principes généraux (droit)--Suisse--[manuel]; Zivilrecht; Einleitungstitel; Schweiz; Grundlagenwerk,,None
10090,La forme authentique en droit fédéral et en droit cantonal comparé /,"Dépraz, Alex, Juge cantonal, 1973-",Bis et Ter,acte authentique--droit cantonal--droit fédéral--* droit comparé--Suisse; öffentliche Beurkundung; Rechtsvergleichung; Bundesrecht; kantonales Recht; Schweiz; Aargau; Appenzell Ausserrhoden; Appenzell Innerrhoden; Basel-Landschaft; Basel-Stadt(Kanton); Bern(Kanton); Freiburg(Kanton); Genf(Kanton); Glarus(Kanton); Graubünden; Jura; Luzern(Kanton); Neuenburg(Kanton); Nidwalden; Obwalden; Sankt Gallen(Kanton); Schaffhausen(Kanton); Schwyz(Kanton); Solothurn(Kanton); Tessin(Kanton); Thurgau; Uri; Waadt; Wallis; Zug(Kanton); Zürich(Kanton),,None
10110,La dialectique de la raison : fragments philosophiques /,"Horkheimer, Max",Gallimard,morale--rationalité--théorie critique; culture--rationalité--* philosophie; dialectique--raison--Lumières,,None
10120,La Migros et la politique : l'Alliance des indépendants /,"Meynaud, Jean",M Meynaud,Alliance des Indépendants (Suisse)--Migros (Suisse),,None
10220,La géographie artistique /,"Gamboni, Dario 1954-....",Éditions Desertina,art suisse--* géographie artistique--origines / 20e s.; ART--HISTOIRE; SUISSE; 0000-1999,,None
10253,Vies.,Plutarque 0046?-0120?,Les Belles Lettres,,,None
10275,Le guide des balades à vélo : [les 60 plus beaux parcours de Suisse romande en famille],nan,GeneralMedia,Cyclotourisme; [Guides touristiques et de visite],,None
10319,Mélanges offerts à Rita Lejeune,nan,J Duculot,littérature française--Moyen-Âge--[études diverses],,None
10325,L'enfant déficient mental à la maison : manuel à l'usage des parents /,"Dittman, Laura L",Ligue internationale des Associations d'aide aux handicapés mentaux,éducation familiale--enfant handicapé mental--[manuel],,None
10345,Pensées /,"Aurelius Antoninus, Marcus",Les Belles Lettres,,9782869592544,OpenLibrary
10350,"Die Chefbeamten der schweizerischen Bundesverwaltung : soziologische Querschnitte in den Jahren 1938, 1955 und 1969 /","Klöti, Ulrich",Francke Verlag,administration publique--fonction publique--Suisse,,None
10352,"Les hauts fonctionnaires de l'administration fédérale suisse : profils socio-politiques, positions et pouvoir des élites administratives de la Confédération helvétique en 1991 /","Roth, André-Noël",Univ de Genève/Département de science politique,administration fédérale--haut fonctionnaire--Suisse--20e s. (fin),,None
10354,Le droit d'asile face aux réformes : fondements et enjeux dans la pratique /,nan,Stämpfli,Droit d'asile; Révision constitutionnelle; Asylrecht; Asylverfahren; Suisse; Schweiz; [Études diverses],,None
10363,Histoire de la Fédération suisse des ouvriers sur bois et du bâtiment: 1873-1953 /,nan,FOBB,Syndicat industrie et bâtiment (Suisse)--1873 / 1953,,None
10380,La horde du contrevent /,"Henninot, Eric",Delcourt,Bandes dessinées de science-fiction; Bandes dessinées,9782756072159,OpenLibrary
10408,"Le Refuge huguenot en Suisse = Die Hugenotten in der Schweiz : [exposition] : Musée historique de l'Ancien-Évêché, Lausanne, 1985",nan,Ed du Tricorne; Musée historique de l'Ancien-Évêché,Réfugiés religieux--Suisse--Histoire; Huguenots--Suisse--Histoire; protestant français--Suisse--16e s. / 18e s.; Eglise du refuge--Suisse--16e s. / 18e s.,,None
10431,Analyse des données qualitatives /,"Miles, Matthew",De Boeck,,9782744500909,OpenLibrary
10444,Carmina Burana /,nan,C Winter,,9780865162686,OpenLibrary
10466,Leçons sur la philosophie de la religion /,"Hegel, Georg Wilhelm Friedrich, 1770-1831",J Vrin,,,None
10488,Alexiade : règne de l'empereur Alexis I Comnène : 1081-1118 /,Anna Comnena,Les Belles Lettres,Alexis--(Comnène ;--Empereur byzantin ;--1),,None
10491,Théâtre /,"Williams, Tennessee",R Laffont,,9780811212014,OpenLibrary
10518,Le syndrome d'abandon /,"Guex, Germaine",Presses Universitaires de France,privation (psychologie)--relation parent-enfant; Privation (psychologie); Psychothérapie; Psychanalyse,,None
10520,Psychanalyse infantile : symbolisme et valeur clinique des créations imaginatives chez l'enfant /,"Morgenstern, Sophie",Editions Denoël,Psychologie; Psychologie du dessin; enfant--imagination--psychanalyse--symbole,,None
10521,Dessin et structure mentale : contribution à l'étude psycho-sociale des milieux nord-africain /,"Rioux, Georges",Attali,dessin--test psychologique--Maghreb,,None
10534,Josef Viktor Widmann : ein Lebensbild /,"Widmann, Elisabeth",Huber,"Widmann, Josef Viktor",,None
10543,L'effet suspensif en procédure administrative /,"Bouchat, Cléa",Helbing Lichtenhahn,Procédure administrative; Actes administratifs; Verwaltungs- und Verwaltungsgerichtsverfahren; aufschiebende Wirkung; Bundesrecht; kantonales Recht; Raumplanung und öffentliches Baurecht; öffentliches Beschaffungswesen; Ausländerrecht; Asylrecht; öffentliches Personalrecht; Strassenverkehrswesen; Sozialversicherung; Staatshaftung; Référé-suspension; Suisse; Schweiz; Freiburg(Kanton); Genf(Kanton); Jura; Neuenburg(Kanton); Wallis; Waadt; [Thèses et écrits académiques],,None
10583,Oeuvres romanesques /,"Sartre, Jean-Paul",Gallimard,,,None
10604,"Mathématiques, cinquième année /","Chastellain, Michel",COROME; Office romand des éditions et du matériel scolaire,,9782884510356,Google
10606,"Les enfants agités, anxieux, tristes : fondements d'une pratique spirituelle de l'éducation /","Köhler, Henning",Ed Novalis,enfant difficile--spiritualité--* pédagogie curative,,None
10610,La réforme scolaire vaudoise : genèse de la loi scolaire du 12 juin 1984 /,"Bober, Gérard",Loisirs et pédagogie; Bibliothèque historique vaudoise,réforme de l'enseignement--Vaud (Suisse)--1953 / 1984; loi--réforme de l'enseignement--Vaud (Suisse)--1984,,None
10643,Mon Paris et ses parisiens /,"Fouquières, André de",P Horay,,,None
10644,Histoire générale de la presse française /,nan,Presses univ de France,presse--France--origines / 1975,,None
10692,L'orateur / trad. nouvelle par Alphonse Agnant. Les topiques / trad. nouvelle par M. Delcasso. [Dialogue sur les] partitions oratoires / trad. nouvelle par M. Bompart. [Des] orateurs parfaits / trad. nouvelle par E. Greslou,"Cicero, Marcus Tullius",CLF Panckoucke,,,None
10693,Notice sur Cicéron /,"Cicero, Marcus Tullius",CLF Panckoucke,,,None
10697,Vint : le roman noir des drogues en Ukraine /,"Marignac, Thierry",Payot,consommation--drogue--Ukraine--21e s. (début),,None
10698,"Droit fédéral et vaudois de la construction : textes annotés de la loi fédérale sur l'aménagement du territoire et de son ordonnance d'exécution, de la loi vaudoise sur l'aménagement du territoire et les constructions et de son règlement d'exécution extraits de la loi vaudoise sur la jurisdiction et la procédure administratives et du code rural et foncier /",nan,Ed Payot,droit de la construction--Vaud (Suisse)--[texte législatif]; aménagement du territoire--droit de la construction--Suisse--[texte législatif]; aménagement du territoire--droit de la construction--Vaud (Suisse)--[texte législatif]; droit de la construction--Suisse--[texte législatif]; Raumplanung und öffentliches Baurecht; Bundesrecht; kantonales Recht; Bundesgesetz über die Raumplanung; kantonales Raumplanungsgesetz; Schweiz; Waadt; Textreproduktion; Kommentar(Werk),,None
10755,Studies in literature /,"Quiller-Couch, Arthur Thomas",The University Press,,9780521736770,Google
10757,Histoire des sociétés d'étudiants à Lausanne /,"Meuwly, Olivier, 1963-",Université de Lausanne,"société d'étudiants--Lausanne (Suisse, VD)--19e s.",,None
10760,Ma cuisine Ayurveda : recettes pour un esprit et un corps sains /,"Fabrie, Biance",First,Ayurveda; Cuisine végétarienne,,None
10769,Le rire et le sourire dans le roman courtois en France au Moyen Age : 1150-1250 /,"Ménard, Philippe",Droz,rire--roman courtois français--12e s. (2e moitié) / 13e s. (1ère moitié),,None
10770,"The continuations of the Old French ""Perceval"" of Chretien de Troyes / redaction of Mss E M Q U",nan,The American philosophical Society; Univ of Pennsylvania Press,,,None
10778,An Anglo-Norman rhymed Apocalypse with commentary /,nan,B Blackwell,,,None
10781,Gustave Roud : point de vue sur un homme discret /,"Vincent, Gilbert, 1933-",L'Age d'homme,"mystique--Roud, Gustave",,None
10791,Programmation en assembleur 68000 /,"Léon, Louis",Eyrolles,assembleur (langage de programmation)--Motorola M68000 (microprocesseur)--programmation,,None
10792,Circuits périphériques de la famille 68000 /,"Jaulent, Patrick",Eyrolles,Motorola M68000 (microprocesseur)--périphérique (informatique)--signal électrique - transmission,,None
10793,"Le microprocesseur 68000 et sa programmation : ""MC 68000 et MC 68010"" /","Jaulent, Patrick",Eyrolles,Motorola M68000 (microprocesseur)--[manuel],,None
10794,Mise en oeuvre du 68000 /,"Vieillefond, Catherine",Sybex,,9782736100636,Google
10795,Traité du jeu de Go,"Girault, Roger J",Librairie L'Impensé Radical,jeu de go,,None
10799,Bannières et peintures de Touen-Houang : conservées au musée Guimet /,"Vandier-Nicolas, Nicole",A Maisonneuve,"peinture chinoise--Musée Guimet (Paris)--Dunhuang (Chine, république populaire)",,None
10802,Inigo Jones : the theatre of the Stuart court : including the complete designs for productions at court for the most part in the collection of the Duke of Devonshire together with their texts and historical documentation /,"Orgel, Stephen",Univ of California press; Sotheby-Parke-Bernet,"scénographie--Jones, Inigo - dessin; costume--théâtre anglais--17e s.; masque--théâtre anglais--17e s.",,None
10804,Disguise and role-playing in Ben Jonson's drama /,"Hyland, Peter",Institut fuer englische Sprache und Literatur Univ Salzburg,"déguisement--Jonson, Ben",,None
10807,La protection des biotopes en droit suisse : étude de droit matériel /,"Sidi-Ali, Karin",Schulthess,biotope - protection--environnement - protection--* droit--Suisse; Biotop; Natur- und Heimatschutz; Umweltschutz; Schweiz,,None
10842,Le bergsonisme /,"Thibaudet, Albert",Gallimard,"Bergson, Henri--* philosophie",,None
10849,Logique et existence : essai sur la logique de Hegel /,"Hyppolite, Jean",Presses univ de France,,,None
10851,Logique de la philosophie /,"Weil, Eric",J Vrin,,9782711607303,OpenLibrary
10868,La Cathédrale de Lausanne /,nan,Société d'histoire de l'art en Suisse,"cathédrale--Lausanne (Suisse, VD) - Notre-Dame; Geschichte; Schweizergeschichte; Burg; Kloster(Baute); religiöses Gebäude; Kunst und Kultur; Architektur",,None
10869,"Viollet-Le-Duc : centenaire de la mort à Lausanne : exposition au Musée historique de l'Ancien-Evêché, Lausanne, 22 juin-30 septembre 1979 /",nan,Musée historique de l'Ancien-Evêché,"Viollet-le-Duc, Eugène Emmanuel--[catalogue d'exposition]",,None
10925,Hommage à Monsieur Rodolphe Stadler à l'occasion du cinquantième anniversaire de la S.A. des Câbleries et tréfileries de Cossonay : 1923-1973 /,"Rieben, Henri",Impr Réunies; éditeur non identifié,"Stadler, Rodolphe",,None
10926,"L'ouvrier au village : intégration ouvrière et changements structuraux à Penthalaz, 1898-1930 /","Francillon, Denise",Section d'histoire Université de Lausanne,"intégration sociale--travailleur--Penthalaz (Suisse, VD)--1898 / 1930; Penthalaz (Suisse, VD)--1898 / 1930",,None
10927,A table chez les Vaudois : carnet du beau-boire et des recettes vigneronnes /,nan,Roth et Sauter; éditeur non identifié,cuisine (gastronomie)--Vaud (Suisse),,None
10934,Apprendre à argumenter : 5e secondaire /,nan,ERPI,,,None
10969,"Le mausolée nouveau est arrivé : les monuments funéraires d'Avenches-en Chaplix (Canton de Vaud, Suisse) /","Flutsch, Laurent",Cahiers d'archéologie romande,"Mausolées; Epoque impériale romaine (Rome ; 30 av. J.-C.-476); Fouilles archéologiques; Remontage (archéologie); Avenches (Suisse, VD) - En Chaplix",,None
